cycle	observedAtUtc	portraitState	landscapeState	httpStatus	safariProcess	playAction
1	2026-07-27T04:19:39Z	rotate-prompt	game	200	present	discard:テントウムシ:捨てる 選んだ牌を捨てる
2	2026-07-27T04:20:42Z	rotate-prompt	game	200	present	discard:タコ:捨てる 選んだ牌を捨てる
3	2026-07-27T04:21:46Z	rotate-prompt	game	200	present	discard:アヒル:捨てる 選んだ牌を捨てる
4	2026-07-27T04:22:49Z	rotate-prompt	game	200	present	discard:カエル:捨てる 選んだ牌を捨てる
